sourceid,rankid,sciname,unitname1,author,sourceparentid,parentstr,acceptance
16489,140,Dialypetalanthaceae,Dialypetalanthaceae,,5520,Myrtales,1
16490,140,Melastomataceae,Melastomataceae,Juss.,5520,Myrtales,1
16491,140,Peneaceae,Peneaceae,,5520,Myrtales,1
16492,140,Oliniaceae,Oliniaceae,,5520,Myrtales,1
16493,140,Trapaceae,Trapaceae,,5520,Myrtales,1
16494,140,Alangiaceae,Alangiaceae,,5522,Cornales,1
16495,140,Davidiaceae,Davidiaceae,,5522,Cornales,1
16496,140,Nyssaceae,Nyssaceae,,5522,Cornales,1
16497,140,Eremolepidaceae,Eremolepidaceae,,5523,Santalales,1
16498,140,Opiliaceae,Opiliaceae,,5523,Santalales,1
16499,140,Grubbiaceae,Grubbiaceae,,5523,Santalales,1
16500,140,Loranthaceae,Loranthaceae,,5523,Santalales,1
16501,140,Cynomoriaceae,Cynomoriaceae,,5523,Santalales,1
16502,140,Medusandraceae,Medusandraceae,,5523,Santalales,1
16503,140,Dipentodontaceae,Dipentodontaceae,,234484,Huerteales,1
16504,140,Olacaceae,Olacaceae,,5523,Santalales,1
16505,140,Misodendraceae,Misodendraceae,,5523,Santalales,1
16506,140,Balanophoraceae,Balanophoraceae,,5523,Santalales,1
16507,140,Hydnoraceae,Hydnoraceae,,5513,Piperales,1
16508,140,Mitrastemonaceae,Mitrastemonaceae,,5524,Rafflesiales,1
16510,140,Hippocrateaceae,Hippocrateaceae,,5525,Celastrales,1
16511,140,Aquifoliaceae,Aquifoliaceae,,234496,Aquifoliales,1
16512,140,Stackhousiaceae,Stackhousiaceae,,5525,Celastrales,1
16513,140,Siphonodontaceae,Siphonodontaceae,,5525,Celastrales,1
16514,140,Corynocarpaceae,Corynocarpaceae,,234483,Cucurbitales,1
16515,140,Icacinaceae,Icacinaceae,,234498,Boraginales,1
16516,140,Cardiopteridaceae,Cardiopteridaceae,,234496,Aquifoliales,1
16517,140,Geissolomataceae,Geissolomataceae,,5525,Celastrales,1
16518,140,Salvadoraceae,Salvadoraceae,,234480,Brassicales,1
16522,140,Brunelliaceae,Brunelliaceae,,234487,Oxalidales,1
16523,140,Cephalotaceae,Cephalotaceae,,5527,Rosales,1
16524,140,Surianaceae,Surianaceae,,5486,Fabales,1
16525,140,Connaraceae,Connaraceae,,234487,Oxalidales,1
16526,140,Eucryphiaceae,Eucryphiaceae,,5527,Rosales,1
16527,140,Alseuosmiaceae,Alseuosmiaceae,,5527,Rosales,1
16528,140,Chrysobalanaceae,Chrysobalanaceae,,234486,Malpighiales,1
16529,140,Columelliaceae,Columelliaceae,,234499,Bruniales,1
16530,140,Neuradaceae,Neuradaceae,,5527,Rosales,1
16531,140,Byblidaceae,Byblidaceae,,5527,Rosales,1
16532,140,Pittosporaceae,Pittosporaceae,,5484,Apiales,1
16533,140,Davidsoniaceae,Davidsoniaceae,,5527,Rosales,1
16534,140,Cunoniaceae,Cunoniaceae,,234487,Oxalidales,1
16535,140,Bruniaceae,Bruniaceae,,234499,Bruniales,1
16539,140,Didymelaceae,Didymelaceae,,5528,Hamamelidales,1
16540,140,Myrothamnaceae,Myrothamnaceae,,5528,Hamamelidales,1
16541,140,Eupteleaceae,Eupteleaceae,,5528,Hamamelidales,1
16542,140,Cercidiphyllaceae,Cercidiphyllaceae,,234467,Saxifragales,1
16543,140,Hamamelidaceae,Hamamelidaceae,,234467,Saxifragales,1
16544,140,Cecropiaceae,Cecropiaceae,,5529,Urticales,1
16545,140,Barbeyaceae,Barbeyaceae,,5529,Urticales,1
16546,140,Rhoipteleaceae,Rhoipteleaceae,,5530,Juglandales,1
16547,140,Picrodendraceae,Picrodendraceae,,234486,Malpighiales,1
16548,140,Balanopaceae,Balanopaceae,,5531,Fagales,1
16549,140,Didiereaceae,Didiereaceae,,5534,Caryophyllales,1
16550,140,Basellaceae,Basellaceae,,5534,Caryophyllales,1
16551,140,Achatocarpaceae,Achatocarpaceae,,5534,Caryophyllales,1
16554,140,Aextoxicaceae,Aextoxicaceae,,234465,Berberidopsidales,1
16555,140,Pandaceae,Pandaceae,,5536,Euphorbiales,1
16556,140,Daphniphyllaceae,Daphniphyllaceae,,5536,Euphorbiales,1
16557,140,Buxaceae,Buxaceae,,234441,Buxales,1
16558,140,Acoraceae,Acoraceae,,234406,Acorales,1
16559,140,Xanthorrhoeaceae,Xanthorrhoeaceae,,164408,Asparagales,1
16560,140,Smilacaceae,Smilacaceae,,5538,Liliales,1
16561,140,Hanguanaceae,Hanguanaceae,,5506,Commelinales,1
16562,140,Stemonaceae,Stemonaceae,,16553,Pandanales,1
16563,140,Amaryllidaceae,Amaryllidaceae,,164408,Asparagales,1
16564,140,Dioscoreaceae,Dioscoreaceae,,234427,Dioscoreales,1
16565,140,Cyanastraceae,Cyanastraceae,,5538,Liliales,1
16566,140,Taccaceae,Taccaceae,,5538,Liliales,1
16567,140,Philydraceae,Philydraceae,,5506,Commelinales,1
16568,140,Haemodoraceae,Haemodoraceae,,5506,Commelinales,1
16569,140,Velloziaceae,Velloziaceae,,16553,Pandanales,1
16570,140,Leeaceae,Leeaceae,,5539,Rhamnales,1
16578,140,Stachyuraceae,Stachyuraceae,,234482,Crossosomatales,1
16579,140,Actinidiaceae,Actinidiaceae,,5507,Ericales,1
16580,140,Rhopalocarpaceae,Rhopalocarpaceae,,5541,Theales,1
16581,140,Marcgraviaceae,Marcgraviaceae,,5507,Ericales,1
16582,140,Caryocaraceae,Caryocaraceae,,234486,Malpighiales,1
16583,140,Quiinaceae,Quiinaceae,,5541,Theales,1
16584,140,Theaceae,Theaceae,,5507,Ericales,1
16585,140,Sarcolaenaceae,Sarcolaenaceae,,5541,Theales,1
16586,140,Ochnaceae,Ochnaceae,,234486,Malpighiales,1
16587,140,Medusagynaceae,Medusagynaceae,,5541,Theales,1
16588,140,Dipterocarpaceae,Dipterocarpaceae,,5543,Malvales,1
16589,140,Staphyleaceae,Staphyleaceae,,234482,Crossosomatales,1
