sourceid,kingdomid,rankid,sciname,unitname1,author,sourceparentid,parentstr,acceptance
128329,4,140,Roccellographaceae,Roccellographaceae,"Ertz & Tehler",51663,Arthoniales,1
148899,4,140,Gypsoplacaceae,Gypsoplacaceae,NULL,51657,Fungi,1
150407,4,140,Lahmiaceae,Lahmiaceae,NULL,51657,Fungi,1
186294,4,140,Tephromelataceae,Tephromelataceae,NULL,51657,Fungi,1
194263,4,140,Acrospermaceae,Acrospermaceae,NULL,51657,Fungi,1
194327,4,140,Agaricaceae,Agaricaceae,NULL,51657,Fungi,1
194328,4,140,Agaricomycetes,Agaricomycetes,NULL,51657,Fungi,1
194329,4,140,Agaricostilbaceae,Agaricostilbaceae,NULL,51657,Fungi,1
194344,4,140,Aigialaceae,Aigialaceae,NULL,51657,Fungi,1
194467,4,140,Amniculicolaceae,Amniculicolaceae,NULL,51657,Fungi,1
194658,4,140,Amylocorticiaceae,Amylocorticiaceae,NULL,51657,Fungi,1
194660,4,140,Amylostereaceae,Amylostereaceae,NULL,51657,Fungi,1
194726,4,140,Annulatascaceae,Annulatascaceae,NULL,51657,Fungi,1
194770,4,140,Aphanopsidaceae,Aphanopsidaceae,NULL,51657,Fungi,1
194771,4,140,Aphelariaceae,Aphelariaceae,NULL,51657,Fungi,1
194778,4,140,Apiosporaceae,Apiosporaceae,NULL,51657,Fungi,1
194788,4,140,Aquamycetaceae,Aquamycetaceae,NULL,51657,Fungi,1
194800,4,140,Arcyriaceae,Arcyriaceae,NULL,51657,Fungi,1
194977,4,140,Arthrodermataceae,Arthrodermataceae,NULL,51657,Fungi,1
195034,4,140,Ascobolaceae,Ascobolaceae,NULL,51657,Fungi,1
195038,4,140,Ascodesmidaceae,Ascodesmidaceae,NULL,51657,Fungi,1
195039,4,140,Ascodichaenaceae,Ascodichaenaceae,NULL,51657,Fungi,1
195163,4,140,Asterinaceae,Asterinaceae,NULL,51657,Fungi,1
195258,4,140,Auriculariaceae,Auriculariaceae,NULL,51657,Fungi,1
195260,4,140,Auriscalpiaceae,Auriscalpiaceae,NULL,51657,Fungi,1
195405,4,140,Bangiaceae,Bangiaceae,NULL,51657,Fungi,1
196072,4,140,Boliniaceae,Boliniaceae,NULL,51657,Fungi,1
196139,4,140,Botryobasidiaceae,Botryobasidiaceae,NULL,51657,Fungi,1
196435,4,140,Bulgariaceae,Bulgariaceae,NULL,51657,Fungi,1
196444,4,140,Byssolomataceae,Byssolomataceae,NULL,51657,Fungi,1
196452,4,140,Cainiaceae,Cainiaceae,NULL,51657,Fungi,1
197214,4,140,Caloscyphaceae,Caloscyphaceae,NULL,51657,Fungi,1
197215,4,140,Calosphaeriaceae,Calosphaeriaceae,NULL,51657,Fungi,1
197268,4,140,Cantharellaceae,Cantharellaceae,NULL,51657,Fungi,1
197292,4,140,Catabotrydaceae,Catabotrydaceae,NULL,51657,Fungi,1
197407,4,140,Caudosporidae,Caudosporidae,NULL,51657,Fungi,1
197478,4,140,Ceratiomyxaceae,Ceratiomyxaceae,NULL,51657,Fungi,1
197479,4,140,Ceratobasidiaceae,Ceratobasidiaceae,NULL,51657,Fungi,1
197488,4,140,Ceratostomataceae,Ceratostomataceae,NULL,51657,Fungi,1
197585,4,140,Chaetomiaceae,Chaetomiaceae,NULL,51657,Fungi,1
197587,4,140,Chaetosphaerellaceae,Chaetosphaerellaceae,NULL,51657,Fungi,1
197588,4,140,Chaetosphaeriaceae,Chaetosphaeriaceae,NULL,51657,Fungi,1
197589,4,140,Chaetothyriaceae,Chaetothyriaceae,NULL,51657,Fungi,1
197647,4,140,Choanephoraceae,Choanephoraceae,NULL,51657,Fungi,1
197651,4,140,Chorioactidaceae,Chorioactidaceae,NULL,51657,Fungi,1
197670,4,140,Chytridiaceae,Chytridiaceae,NULL,51657,Fungi,1
198019,4,140,Clavicipitaceae,Clavicipitaceae,NULL,51657,Fungi,1
198021,4,140,Clavulinaceae,Clavulinaceae,NULL,51657,Fungi,1
198030,4,140,Clypeosphaeriaceae,Clypeosphaeriaceae,NULL,51657,Fungi,1
198044,4,140,Coccodiniaceae,Coccodiniaceae,NULL,51657,Fungi,1
198045,4,140,Coccoideaceae,Coccoideaceae,NULL,51657,Fungi,1
198268,4,140,Coniochaetaceae,Coniochaetaceae,NULL,51657,Fungi,1
198282,4,140,Coniophoraceae,Coniophoraceae,NULL,51657,Fungi,1
198287,4,140,Cookellaceae,Cookellaceae,NULL,51657,Fungi,1
198288,4,140,Cordycipitaceae,Cordycipitaceae,NULL,51657,Fungi,1
199087,4,140,Cortinariaceae,Cortinariaceae,NULL,51657,Fungi,1
199143,4,140,Coryneliaceae,Coryneliaceae,NULL,51657,Fungi,1
199182,4,140,Cribrariaceae,Cribrariaceae,NULL,51657,Fungi,1
199220,4,140,Cronartiaceae,Cronartiaceae,NULL,51657,Fungi,1
199224,4,140,Cryphonectriaceae,Cryphonectriaceae,NULL,51657,Fungi,1
199322,4,140,Cucurbitariaceae,Cucurbitariaceae,NULL,51657,Fungi,1
199324,4,140,Cunninghamellaceae,Cunninghamellaceae,NULL,51657,Fungi,1
199382,4,140,Cyanophyta,Cyanophyta,NULL,51657,Fungi,1
199407,4,140,Cyphellaceae,Cyphellaceae,NULL,51657,Fungi,1
199412,4,140,Cystostereaceae,Cystostereaceae,NULL,51657,Fungi,1
199416,4,140,Dacrymycetaceae,Dacrymycetaceae,NULL,51657,Fungi,1
199433,4,140,Davidiellaceae,Davidiellaceae,NULL,51657,Fungi,1
199457,4,140,Dermateaceae,Dermateaceae,NULL,51657,Fungi,1
199533,4,140,Diaporthaceae,Diaporthaceae,NULL,51657,Fungi,1
199534,4,140,Diatrypaceae,Diatrypaceae,NULL,51657,Fungi,1
199553,4,140,Dictydiaethaliaceae,Dictydiaethaliaceae,NULL,51657,Fungi,1
199586,4,140,Didymiaceae,Didymiaceae,NULL,51657,Fungi,1
199587,4,140,Didymosphaeriaceae,Didymosphaeriaceae,NULL,51657,Fungi,1
199708,4,140,Discinaceae,Discinaceae,NULL,51657,Fungi,1
199721,4,140,Doassansiaceae,Doassansiaceae,NULL,51657,Fungi,1
199729,4,140,Dothideaceae,Dothideaceae,NULL,51657,Fungi,1
199730,4,140,Dothidotthiaceae,Dothidotthiaceae,NULL,51657,Fungi,1
199803,4,140,Echinodontiaceae,Echinodontiaceae,NULL,51657,Fungi,1
199818,4,140,Elsinoaceae,Elsinoaceae,NULL,51657,Fungi,1
