sourceid,kingdomid,rankid,sciname,unitname1,author,sourceparentid,parentstr,acceptance
16432,3,100,Triuridales,Triuridales,NULL,5551,Alismatidae,1
16445,3,100,Hydatellales,Hydatellales,NULL,5552,Commelinidae,1
16446,3,100,Eriocaulales,Eriocaulales,NULL,5552,Commelinidae,1
16447,3,100,Restionales,Restionales,NULL,5552,Commelinidae,1
16466,3,100,Welwitschiales,Welwitschiales,NULL,5553,Gnetopsida,1
16467,3,100,Gnetales,Gnetales,NULL,5568,Gnetophyta,1
16469,3,100,Magnoliales,Magnoliales,NULL,234392,Magnoliids,1
16470,3,100,Illiciales,Illiciales,NULL,5554,Magnoliidae,1
16471,3,100,Laurales,Laurales,NULL,234392,Magnoliids,1
16519,3,100,Proteales,Proteales,NULL,234401,Eudicots,1
16520,3,100,Podostemales,Podostemales,NULL,5555,Rosidae,1
16521,3,100,Rhizophorales,Rhizophorales,NULL,5555,Rosidae,1
16536,3,100,Casuarinales,Casuarinales,NULL,5556,Hamamelidae,1
16537,3,100,Leitneriales,Leitneriales,NULL,5556,Hamamelidae,1
16538,3,100,Myricales,Myricales,NULL,5556,Hamamelidae,1
16552,3,100,Cyclanthales,Cyclanthales,NULL,5558,Arecidae,1
16553,3,100,Pandanales,Pandanales,NULL,234393,Monocots,1
16571,3,100,Diapensiales,Diapensiales,NULL,5560,Dilleniidae,1
16572,3,100,Batales,Batales,NULL,5560,Dilleniidae,1
16573,3,100,Umbellales,Umbellales,NULL,5560,Dilleniidae,1
16574,3,100,Sarraceniales,Sarraceniales,NULL,5560,Dilleniidae,1
16575,3,100,Dilleniales,Dilleniales,NULL,234435,Core Eudicots,1
16576,3,100,Lecythidales,Lecythidales,NULL,5560,Dilleniidae,1
16577,3,100,Nepenthales,Nepenthales,NULL,5560,Dilleniidae,1
16612,3,100,Trochodendrales,Trochodendrales,NULL,234401,Eudicots,1
16613,3,100,Daphniphyllales,Daphniphyllales,NULL,16468,Hamamelididae,1
16614,3,100,Didymelales,Didymelales,NULL,16468,Hamamelididae,1
16615,3,100,Eucommiales,Eucommiales,NULL,16468,Hamamelididae,1
16630,3,100,Schistostegales,Schistostegales,NULL,16600,Bryophyta,1
16631,3,100,Dawsoniales,Dawsoniales,NULL,16600,Bryophyta,1
16632,3,100,Tetraphales,Tetraphales,NULL,16600,Bryophyta,1
16645,3,100,Cordaitales,Cordaitales,NULL,16465,Cordaitopsida,1
16646,3,100,Coniferales,Coniferales,NULL,16463,Coniferopsida,1
16701,3,100,Rhaphoneidales,Rhaphoneidales,NULL,16667,Fragilariophyceae,1
16705,3,100,Pennales,Pennales,NULL,16666,Bacillariophyceae,1
16706,3,100,Centrales,Centrales,NULL,16666,Bacillariophyceae,1
16707,3,100,Gonyaulacales,Gonyaulacales,NULL,16669,Dinophyceae,1
16708,3,100,Peridiniales,Peridiniales,NULL,16669,Dinophyceae,1
16709,3,100,Gymnodiniales,Gymnodiniales,NULL,16669,Dinophyceae,1
16710,3,100,Dinophysiales,Dinophysiales,NULL,16669,Dinophyceae,1
16711,3,100,Prorocentrales,Prorocentrales,NULL,16669,Dinophyceae,1
16712,3,100,Suessiales,Suessiales,NULL,16669,Dinophyceae,1
16713,3,100,Syndiniales,Syndiniales,NULL,16669,Dinophyceae,1
16714,3,100,Blastodiniales,Blastodiniales,NULL,16669,Dinophyceae,1
16715,3,100,Thoracosphaerales,Thoracosphaerales,NULL,16669,Dinophyceae,1
16716,3,100,Actiniscales,Actiniscales,NULL,16669,Dinophyceae,1
16717,3,100,Brachydiniales,Brachydiniales,NULL,16669,Dinophyceae,1
16718,3,100,Lophodiniales,Lophodiniales,NULL,16669,Dinophyceae,1
16719,3,100,Noctilucales,Noctilucales,NULL,16669,Dinophyceae,1
16720,3,100,Dinotrichales,Dinotrichales,NULL,16669,Dinophyceae,1
16721,3,100,Phytodiniales,Phytodiniales,NULL,16669,Dinophyceae,1
16722,3,100,Ptychodiscales,Ptychodiscales,NULL,16669,Dinophyceae,1
16723,3,100,Anthocerotales,Anthocerotales,NULL,16670,Anthocerotopsida,1
16755,3,100,Monocleales,Monocleales,NULL,16702,Jungermanniidae,1
16813,3,100,Polytrichidae,Polytrichidae,NULL,16698,Bryopsida,1
16815,3,100,Tetraphidae,Tetraphidae,NULL,16698,Bryopsida,1
16816,3,100,Andreaeobryales,Andreaeobryales,NULL,16812,Andreaeidae,1
16817,3,100,Andreaeales,Andreaeales,NULL,16812,Andreaeidae,1
16818,3,100,Metzgeriales,Metzgeriales,NULL,16753,Jungermanniae,1
16819,3,100,Calobryales,Calobryales,NULL,16753,Jungermanniae,1
16820,3,100,Jungermanniales,Jungermanniales,NULL,16753,Jungermanniae,1
16821,3,100,Takakiales,Takakiales,NULL,16753,Jungermanniae,1
16822,3,100,Sphaerocarpales,Sphaerocarpales,NULL,16752,Marchantiae,1
16823,3,100,Marchantiales,Marchantiales,NULL,16752,Marchantiae,1
16824,3,100,Sphagnales,Sphagnales,NULL,16811,Sphagnidae,1
16827,3,100,Hypnales,Hypnales,NULL,16814,Bryidae,1
16828,3,100,Seligeriales,Seligeriales,NULL,16814,Bryidae,1
16829,3,100,Buxbaumiales,Buxbaumiales,NULL,16814,Bryidae,1
16830,3,100,Encalyptales,Encalyptales,NULL,16814,Bryidae,1
